Governorate,Cases,Deaths,Recoveries,Active Cases,Date,Today's Cases,Vaccine Ratio,The Proportion Of Fully Vaccinated
#adm1+name,#affected+infected+confirmed,#affected+infected+dead,#affected+infected+recovered,#affected+infected+active,#date,#affected+infected+today,,
East Jerusalem,30356,268,29082,1006,2021-10-06,0,--,--
Jenin Governorate,24777,287,24015,475,2021-10-06,22,0.47,0.41
Tulkarm Governorate,22415,287,21443,685,2021-10-06,8,0.61,0.53
Bethlehem Governorate,18432,238,17905,289,2021-10-06,16,0.68,0.6
Jerusalem Governorate,11388,96,11122,170,2021-10-06,14,0.34,0.29
Qalqilya Governorate,10963,181,10488,294,2021-10-06,9,0.52,0.46
Salfit Governorate,9279,100,8997,182,2021-10-06,10,0.57,0.45
Tubas Governorate,5969,67,5795,107,2021-10-06,11,0.6,0.53
Jericho Governorate,5107,52,4679,376,2021-10-06,17,0.61,0.5
Gaza strip,173494,1422,154180,17892,2021-10-05,1018,0.34,0.23
Hebron Governorate,46767,595,45856,316,2021-10-05,30,0.55,0.47
Nablus Governorate,43936,520,42158,1258,2021-10-05,36,0.55,0.46
Ramallah and al-Bireh Governorate,37069,330,35973,766,2021-10-05,51,0.79,0.67
East Jerusalem,30356,268,29082,1006,2021-10-05,0,--,--
Jenin Governorate,24755,286,23947,522,2021-10-05,34,0.46,0.4
Tulkarm Governorate,22407,287,21378,742,2021-10-05,22,0.6,0.53
Bethlehem Governorate,18416,238,17887,291,2021-10-05,28,0.68,0.6
Jerusalem Governorate,11374,94,11115,165,2021-10-05,10,0.33,0.29
Qalqilya Governorate,10954,181,10451,322,2021-10-05,1,0.52,0.45
Salfit Governorate,9269,100,8964,205,2021-10-05,11,0.57,0.45
Tubas Governorate,5958,67,5784,107,2021-10-05,12,0.59,0.52
Jericho Governorate,5090,50,4669,371,2021-10-05,25,0.6,0.49
Gaza strip,172476,1414,153124,17938,2021-10-04,0,0.34,0.12
Hebron Governorate,46737,594,45816,327,2021-10-04,0,0.54,0.37
Nablus Governorate,43900,517,42001,1382,2021-10-04,0,0.55,0.28
Ramallah and al-Bireh Governorate,37018,330,35894,794,2021-10-04,0,0.78,0.55
East Jerusalem,30356,268,29082,1006,2021-10-04,0,--,--
Jenin Governorate,24721,286,23883,552,2021-10-04,0,0.45,0.22
Tulkarm Governorate,22385,285,21169,931,2021-10-04,0,0.59,0.37
Bethlehem Governorate,18388,238,17873,277,2021-10-04,0,0.68,0.46
Jerusalem Governorate,11364,94,11089,181,2021-10-04,0,0.32,0.23
Qalqilya Governorate,10953,181,10429,343,2021-10-04,0,0.51,0.3
Salfit Governorate,9258,100,8954,204,2021-10-04,0,0.56,0.3
Tubas Governorate,5946,67,5772,107,2021-10-04,0,0.59,0.37
Jericho Governorate,5065,50,4657,358,2021-10-04,0,0.6,0.36
Gaza strip,171256,1404,152124,17728,2021-10-03,511,0.34,0.12
Hebron Governorate,46683,594,45812,277,2021-10-03,46,0.54,0.37
Nablus Governorate,43846,516,41868,1462,2021-10-03,53,0.55,0.28
Ramallah and al-Bireh Governorate,36959,330,35797,832,2021-10-03,69,0.78,0.55
East Jerusalem,30356,268,29082,1006,2021-10-03,0,--,--
Jenin Governorate,24666,285,23840,541,2021-10-03,45,0.45,0.22
Tulkarm Governorate,22362,285,21083,994,2021-10-03,34,0.59,0.37
Bethlehem Governorate,18354,238,17867,249,2021-10-03,30,0.68,0.46
Jerusalem Governorate,11345,94,11067,184,2021-10-03,9,0.32,0.23
Qalqilya Governorate,10952,181,10384,387,2021-10-03,19,0.51,0.3
Salfit Governorate,9248,100,8921,227,2021-10-03,20,0.56,0.3
Tubas Governorate,5931,67,5763,101,2021-10-03,13,0.59,0.37
Jericho Governorate,5050,50,4647,353,2021-10-03,23,0.6,0.36
Gaza strip,169128,1387,148942,18799,2021-09-30,1127,0.33,0.12
Hebron Governorate,46599,592,45718,289,2021-09-30,32,0.54,0.36
Nablus Governorate,43728,503,41402,1823,2021-09-30,55,0.55,0.27
Ramallah and al-Bireh Governorate,36831,329,35469,1033,2021-09-30,61,0.78,0.53
East Jerusalem,30356,268,29082,1006,2021-09-30,0,--,--
Jenin Governorate,24541,282,23621,638,2021-09-30,51,0.44,0.21
Tulkarm Governorate,22261,281,20654,1326,2021-09-30,49,0.59,0.36
Bethlehem Governorate,18278,236,17828,214,2021-09-30,13,0.67,0.46
Jerusalem Governorate,11300,93,10983,224,2021-09-30,17,0.32,0.22
Qalqilya Governorate,10925,180,10257,488,2021-09-30,13,0.51,0.29
Salfit Governorate,9216,100,8834,282,2021-09-30,8,0.56,0.3
Tubas Governorate,5910,66,5745,99,2021-09-30,13,0.59,0.37
Jericho Governorate,4999,49,4578,372,2021-09-30,22,0.59,0.36
Hebron Governorate,46567,591,45673,303,2021-09-29,24,0.54,0.36
Nablus Governorate,43673,502,41292,1879,2021-09-29,87,0.54,0.27
Ramallah and al-Bireh Governorate,36770,329,35349,1092,2021-09-29,51,0.77,0.52
East Jerusalem,30356,268,29082,1006,2021-09-29,0,--,--
Jenin Governorate,24490,282,23543,665,2021-09-29,68,0.44,0.21
Tulkarm Governorate,22212,280,20518,1414,2021-09-29,40,0.58,0.35
Bethlehem Governorate,18265,235,17821,209,2021-09-29,29,0.67,0.45
Jerusalem Governorate,11283,93,10977,213,2021-09-29,11,0.31,0.22
Qalqilya Governorate,10912,179,10171,562,2021-09-29,22,0.51,0.28
Salfit Governorate,9208,99,8809,300,2021-09-29,13,0.54,0.3
Tubas Governorate,5897,66,5733,98,2021-09-29,15,0.59,0.37
Jericho Governorate,4977,49,4560,368,2021-09-29,17,0.59,0.35
Gaza strip,165477,1354,144131,19992,2021-09-27,1698,0.32,0.1
Hebron Governorate,46513,590,45608,315,2021-09-27,45,0.53,0.34
Nablus Governorate,43498,498,40855,2145,2021-09-27,110,0.54,0.26
Ramallah and al-Bireh Governorate,36655,327,35204,1124,2021-09-27,70,0.77,0.49
East Jerusalem,30356,268,29082,1006,2021-09-27,0,--,--
Jenin Governorate,24374,281,23279,814,2021-09-27,68,0.43,0.2
Tulkarm Governorate,22111,280,20337,1494,2021-09-27,78,0.57,0.33
Bethlehem Governorate,18214,235,17808,171,2021-09-27,30,0.66,0.44
Jerusalem Governorate,11257,93,10949,215,2021-09-27,13,0.31,0.22
Qalqilya Governorate,10863,174,10079,610,2021-09-27,20,0.5,0.26
Salfit Governorate,9185,99,8710,376,2021-09-27,14,0.54,0.29
Tubas Governorate,5871,66,5675,130,2021-09-27,13,0.58,0.36
Jericho Governorate,4928,49,4546,333,2021-09-27,41,0.58,0.35
Gaza strip,163779,1343,143278,19158,2021-09-26,569,0.32,0.1
Hebron Governorate,46468,590,45601,277,2021-09-26,44,0.53,0.33
Nablus Governorate,43388,494,40700,2194,2021-09-26,96,0.53,0.26
Ramallah and al-Bireh Governorate,36585,327,35078,1180,2021-09-26,92,0.76,0.47
East Jerusalem,30356,268,29082,1006,2021-09-26,0,--,--
Jenin Governorate,24306,280,23219,807,2021-09-26,69,0.43,0.19
Tulkarm Governorate,22033,278,20181,1574,2021-09-26,67,0.57,0.3
Bethlehem Governorate,18184,235,17808,141,2021-09-26,14,0.66,0.43
Jerusalem Governorate,11244,93,10930,221,2021-09-26,7,0.31,0.21
Qalqilya Governorate,10843,171,10010,662,2021-09-26,28,0.5,0.25
Salfit Governorate,9171,99,8650,422,2021-09-26,20,0.53,0.28
Tubas Governorate,5858,66,5666,126,2021-09-26,13,0.58,0.36
Jericho Governorate,4887,49,4535,303,2021-09-26,50,0.58,0.34
Gaza strip,160733,1319,138850,20564,2021-09-23,1534,0.31,0.1
Hebron Governorate,46395,588,45468,339,2021-09-23,30,0.52,0.31
Nablus Governorate,43141,485,40091,2565,2021-09-23,102,0.53,0.25
Ramallah and al-Bireh Governorate,36359,327,34681,1351,2021-09-23,100,0.76,0.45
East Jerusalem,29858,268,28966,624,2021-09-23,0,--,--
Jenin Governorate,24158,278,22775,1105,2021-09-23,78,0.42,0.19
Tulkarm Governorate,21834,274,19754,1806,2021-09-23,80,0.56,0.29
Bethlehem Governorate,18136,235,17764,137,2021-09-23,20,0.66,0.41
Jerusalem Governorate,11203,93,10887,223,2021-09-23,27,0.3,0.21
Qalqilya Governorate,10774,170,9779,825,2021-09-23,43,0.5,0.25
Salfit Governorate,9114,96,8550,468,2021-09-23,24,0.53,0.28
Tubas Governorate,5833,66,5610,157,2021-09-23,9,0.58,0.35
Jericho Governorate,4772,49,4497,226,2021-09-23,36,0.57,0.33
Gaza strip,157919,1304,135787,20828,2021-09-21,1323,0.31,0.09
Hebron Governorate,46328,588,45416,324,2021-09-21,47,0.52,0.28
Nablus Governorate,42896,481,39604,2811,2021-09-21,154,0.52,0.23
Ramallah and al-Bireh Governorate,36166,326,34472,1368,2021-09-21,119,0.75,0.43
East Jerusalem,29858,268,28966,624,2021-09-21,0,--,--
Jenin Governorate,23979,277,22550,1152,2021-09-21,84,0.41,0.18
Tulkarm Governorate,21681,271,19392,2018,2021-09-21,118,0.55,0.27
Bethlehem Governorate,18100,235,17713,152,2021-09-21,6,0.65,0.38
Jerusalem Governorate,11144,93,10878,173,2021-09-21,21,0.3,0.21
Qalqilya Governorate,10687,169,9637,881,2021-09-21,35,0.49,0.24
Salfit Governorate,9049,96,8417,536,2021-09-21,34,0.51,0.27
Tubas Governorate,5816,66,5560,190,2021-09-21,17,0.57,0.33
Jericho Governorate,4705,46,4488,171,2021-09-21,19,0.56,0.32
Gaza strip,156596,1290,134987,20319,2021-09-20,1300,0.3,0.09
Hebron Governorate,46281,587,45383,311,2021-09-20,36,0.51,0.27
Nablus Governorate,42742,480,39340,2922,2021-09-20,203,0.51,0.22
Ramallah and al-Bireh Governorate,36047,326,34347,1374,2021-09-20,117,0.74,0.41
East Jerusalem,29858,268,28966,624,2021-09-20,0,--,--
Jenin Governorate,23895,277,22408,1210,2021-09-20,101,0.4,0.18
Tulkarm Governorate,21563,270,19305,1988,2021-09-20,155,0.54,0.25
Bethlehem Governorate,18094,235,17707,152,2021-09-20,18,0.64,0.36
Jerusalem Governorate,11123,93,10870,160,2021-09-20,32,0.29,0.2
Qalqilya Governorate,10652,169,9594,889,2021-09-20,61,0.49,0.23
Salfit Governorate,9015,96,8349,570,2021-09-20,34,0.5,0.26
Tubas Governorate,5799,66,5543,190,2021-09-20,25,0.56,0.29
Jericho Governorate,4686,46,4482,158,2021-09-20,21,0.56,0.31
Gaza strip,155296,1282,134629,19385,2021-09-19,1113,0.3,0.08
Hebron Governorate,46245,587,45380,278,2021-09-19,30,0.51,0.26
Nablus Governorate,42539,479,39009,3051,2021-09-19,171,0.51,0.22
Ramallah and al-Bireh Governorate,35930,325,34246,1359,2021-09-19,122,0.74,0.4
East Jerusalem,29858,268,28966,624,2021-09-19,0,--,--
Jenin Governorate,23794,276,22302,1216,2021-09-19,133,0.39,0.17
Tulkarm Governorate,21408,268,19165,1975,2021-09-19,100,0.54,0.24
Bethlehem Governorate,18076,235,17699,142,2021-09-19,16,0.63,0.35
Jerusalem Governorate,11091,92,10853,146,2021-09-19,5,0.29,0.2
Qalqilya Governorate,10591,167,9486,938,2021-09-19,42,0.49,0.23
Salfit Governorate,8981,96,8278,607,2021-09-19,38,0.5,0.26
Tubas Governorate,5774,66,5533,175,2021-09-19,17,0.56,0.28
Jericho Governorate,4665,46,4473,146,2021-09-19,19,0.55,0.31
Gaza strip,152390,1245,129966,21179,2021-09-16,1690,0.29,0.07
Hebron Governorate,46148,587,45287,274,2021-09-16,39,0.5,0.25
Nablus Governorate,42096,477,38351,3268,2021-09-16,186,0.5,0.21
Ramallah and al-Bireh Governorate,35658,324,33824,1510,2021-09-16,120,0.73,0.38
East Jerusalem,29858,268,28966,624,2021-09-16,0,--,--
Jenin Governorate,23446,275,21845,1326,2021-09-16,139,0.39,0.17
Tulkarm Governorate,21074,263,18398,2413,2021-09-16,151,0.53,0.23
Bethlehem Governorate,18044,235,17682,127,2021-09-16,10,0.62,0.34
Jerusalem Governorate,11060,92,10825,143,2021-09-16,21,0.29,0.19
Qalqilya Governorate,10472,165,9261,1046,2021-09-16,65,0.48,0.22
Salfit Governorate,8903,96,8039,768,2021-09-16,42,0.49,0.25
Tubas Governorate,5730,66,5441,223,2021-09-16,28,0.55,0.28
Jericho Governorate,4614,46,4432,136,2021-09-16,10,0.54,0.3
Gaza strip,150700,1238,128309,21153,2021-09-15,1527,0.29,0.07
Hebron Governorate,46109,587,45261,261,2021-09-15,34,0.5,0.25
Nablus Governorate,41910,473,38089,3348,2021-09-15,188,0.49,0.2
Ramallah and al-Bireh Governorate,35538,324,33702,1512,2021-09-15,140,0.72,0.37
East Jerusalem,29858,268,28966,624,2021-09-15,0,--,--
Jenin Governorate,23307,274,21674,1359,2021-09-15,172,0.38,0.17
Tulkarm Governorate,20923,261,18040,2622,2021-09-15,141,0.52,0.23
Bethlehem Governorate,18034,235,17680,119,2021-09-15,4,0.61,0.33
Jerusalem Governorate,11039,92,10820,127,2021-09-15,15th,0.28,0.19
Qalqilya Governorate,10407,164,9184,1059,2021-09-15,67,0.48,0.22
Salfit Governorate,8861,96,7958,807,2021-09-15,53,0.48,0.25
Tubas Governorate,5702,66,5414,222,2021-09-15,13,0.55,0.27
Jericho Governorate,4604,46,4429,129,2021-09-15,12,0.54,0.3
Gaza strip,149173,1228,126951,20994,2021-09-14,1805,0.28,0.07
Hebron Governorate,46075,587,45232,256,2021-09-14,32,0.49,0.25
Nablus Governorate,41722,473,37946,3303,2021-09-14,213,0.48,0.2
Ramallah and al-Bireh Governorate,35398,322,33653,1423,2021-09-14,110,0.72,0.36
East Jerusalem,29858,268,28966,624,2021-09-14,93,--,--
Jenin Governorate,23135,273,21492,1370,2021-09-14,129,0.38,0.17
Tulkarm Governorate,20782,257,17845,2680,2021-09-14,193,0.51,0.23
Bethlehem Governorate,18030,235,17668,127,2021-09-14,9,0.61,0.33
Jerusalem Governorate,11024,92,10814,118,2021-09-14,16,0.27,0.19
Qalqilya Governorate,10340,163,9106,1071,2021-09-14,62,0.47,0.22
Salfit Governorate,8808,95,7866,847,2021-09-14,54,0.48,0.24
Tubas Governorate,5689,66,5400,223,2021-09-14,32,0.55,0.27
Jericho Governorate,4592,46,4425,121,2021-09-14,5,0.54,0.3
Gaza strip,147368,1228,125796,20344,2021-09-13,1437,0.28,0.07
Hebron Governorate,46043,586,45201,256,2021-09-13,22,0.5,0.24
Nablus Governorate,41509,470,37769,3270,2021-09-13,230,0.49,0.19
Ramallah and al-Bireh Governorate,35288,322,33535,1431,2021-09-13,166,0.73,0.36
East Jerusalem,29765,268,28900,597,2021-09-13,352,--,--
Jenin Governorate,23006,273,21344,1389,2021-09-13,104,0.38,0.17
Tulkarm Governorate,20589,256,17716,2617,2021-09-13,201,0.52,0.24
Bethlehem Governorate,18021,235,17651,135,2021-09-13,9,0.63,0.34
Jerusalem Governorate,11008,92,10803,113,2021-09-13,16,0.27,0.18
Qalqilya Governorate,10278,163,9069,1046,2021-09-13,86,0.5,0.23
Salfit Governorate,8754,95,7781,878,2021-09-13,38,0.53,0.27
Tubas Governorate,5657,65,5377,215,2021-09-13,22,0.62,0.31
Jericho Governorate,4587,46,4417,124,2021-09-13,16,0.63,0.34
Gaza strip,145931,1220,125209,19502,2021-09-12,745,0.28,0.07
Hebron Governorate,46021,586,45194,241,2021-09-12,34,0.49,0.24
Nablus Governorate,41279,467,37580,3232,2021-09-12,196,0.48,0.19
Ramallah and al-Bireh Governorate,35122,322,33390,1410,2021-09-12,146,0.72,0.35
East Jerusalem,29413,268,28829,316,2021-09-12,0,--,--
Jenin Governorate,22902,273,21253,1376,2021-09-12,155,0.38,0.17
Tulkarm Governorate,20388,254,17554,2580,2021-09-12,171,0.51,0.24
Bethlehem Governorate,18012,235,17651,126,2021-09-12,5,0.62,0.34
Jerusalem Governorate,10992,92,10797,103,2021-09-12,6,0.26,0.18
Qalqilya Governorate,10192,163,8982,1047,2021-09-12,69,0.48,0.23
Salfit Governorate,8716,94,7679,943,2021-09-12,40,0.53,0.26
Tubas Governorate,5635,65,5368,202,2021-09-12,18,0.62,0.3
Jericho Governorate,4571,46,4408,117,2021-09-12,16,0.62,0.34
Gaza strip,142808,1196,122532,19080,2021-09-09,1512,0.27,0.06
Hebron Governorate,45949,586,45063,300,2021-09-09,29,0.48,0.23
Nablus Governorate,40723,461,36783,3479,2021-09-09,250,0.47,0.19
Ramallah and al-Bireh Governorate,34770,322,32990,1458,2021-09-09,101,0.7,0.34
East Jerusalem,29413,268,28829,316,2021-09-09,0,--,--
Jenin Governorate,22533,273,20831,1429,2021-09-09,147,0.36,0.17
Tulkarm Governorate,19911,249,16865,2797,2021-09-09,236,0.5,0.22
Bethlehem Governorate,18001,235,17635,131,2021-09-09,7,0.61,0.34
Jerusalem Governorate,10971,92,10772,107,2021-09-09,17,0.26,0.18
Qalqilya Governorate,10015,161,8732,1122,2021-09-09,92,0.47,0.23
Salfit Governorate,8584,94,7562,928,2021-09-09,59,0.52,0.26
Tubas Governorate,5570,65,5317,188,2021-09-09,27,0.61,0.3
Jericho Governorate,4529,46,4402,81,2021-09-09,6,0.61,0.34
Gaza strip,139692,1181,120865,17646,2021-09-07,0,0.27,0.06
Hebron Governorate,45888,586,44986,316,2021-09-07,0,0.47,0.23
Nablus Governorate,40221,457,36365,3399,2021-09-07,0,0.46,0.19
Ramallah and al-Bireh Governorate,34542,321,32873,1348,2021-09-07,0,0.67,0.33
East Jerusalem,29413,268,28829,316,2021-09-07,0,--,--
Jenin Governorate,22200,272,20619,1309,2021-09-07,0,0.34,0.17
Tulkarm Governorate,19409,248,16331,2830,2021-09-07,0,0.49,0.21
Bethlehem Governorate,17987,235,17623,129,2021-09-07,0,0.6,0.33
Jerusalem Governorate,10944,92,10764,88,2021-09-07,0,0.25,0.18
Qalqilya Governorate,9860,159,8548,1153,2021-09-07,0,0.44,0.22
Salfit Governorate,8454,93,7440,921,2021-09-07,0,0.5,0.26
Tubas Governorate,5523,65,5248,210,2021-09-07,0,0.6,0.29
Jericho Governorate,4516,46,4390,80,2021-09-07,0,0.59,0.33
Gaza strip,138094,1176,120165,16753,2021-09-06,1336,0.26,0.06
Hebron Governorate,45862,586,44959,317,2021-09-06,29,0.46,0.23
Nablus Governorate,39973,455,36154,3364,2021-09-06,391,0.45,0.18
Ramallah and al-Bireh Governorate,34398,321,32791,1286,2021-09-06,187,0.66,0.32
East Jerusalem,29413,268,28829,316,2021-09-06,0,--,--
Jenin Governorate,22012,272,20535,1205,2021-09-06,191,0.33,0.17
Tulkarm Governorate,19069,248,16183,2638,2021-09-06,355,0.48,0.21
Bethlehem Governorate,17978,234,17611,133,2021-09-06,11,0.6,0.33
Jerusalem Governorate,10938,92,10740,106,2021-09-06,13,0.24,0.17
Qalqilya Governorate,9770,157,8508,1105,2021-09-06,111,0.43,0.22
Salfit Governorate,8377,93,7384,900,2021-09-06,92,0.49,0.26
Tubas Governorate,5494,64,5226,204,2021-09-06,21,0.59,0.29
Jericho Governorate,4509,46,4386,77,2021-09-06,5,0.58,0.33
Gaza strip,136758,1166,119511,16081,2021-09-05,,,
Hebron Governorate,45833,586,44944,303,2021-09-05,,,
Nablus Governorate,39582,455,35855,3272,2021-09-05,,,
Ramallah and al-Bireh Governorate,34211,321,32693,1197,2021-09-05,,,
East Jerusalem,29413,268,28829,316,2021-09-05,,,
Jenin Governorate,21821,272,20473,1076,2021-09-05,,,
Tulkarm Governorate,18714,244,16022,2448,2021-09-05,,,
Bethlehem Governorate,17967,234,17605,128,2021-09-05,,,
Jerusalem Governorate,10925,91,10737,97,2021-09-05,,,
Qalqilya Governorate,9659,155,8433,1071,2021-09-05,,,
Salfit Governorate,8285,93,7340,852,2021-09-05,,,
Tubas Governorate,5473,64,5211,198,2021-09-05,,,
Jericho Governorate,4504,46,4378,80,2021-09-05,,,
Gaza strip,133483,1151,118251,14081,2021-09-02,,,
Hebron Governorate,45746,585,44838,323,2021-09-02,,,
Nablus Governorate,38775,453,35221,3101,2021-09-02,,,
Ramallah and al-Bireh Governorate,33928,321,32511,1096,2021-09-02,,,
East Jerusalem,29413,268,28829,316,2021-09-02,,,
Jenin Governorate,21442,270,20273,899,2021-09-02,,,
Tulkarm Governorate,18121,239,15621,2261,2021-09-02,,,
Bethlehem Governorate,17953,234,17591,128,2021-09-02,,,
Jerusalem Governorate,10902,91,10715,96,2021-09-02,,,
Qalqilya Governorate,9404,153,8273,978,2021-09-02,,,
Salfit Governorate,8065,92,7272,701,2021-09-02,,,
Tubas Governorate,5424,64,5147,213,2021-09-02,,,
Jericho Governorate,4487,46,4373,68,2021-09-02,,,
Gaza strip,131888,1146,117828,12914,2021-09-01,,,
Hebron Governorate,45701,585,44816,300,2021-09-01,,,
Nablus Governorate,38466,452,35005,3009,2021-09-01,,,
Ramallah and al-Bireh Governorate,33773,320,32451,1002,2021-09-01,,,
East Jerusalem,29300,268,28805,227,2021-09-01,,,
Jenin Governorate,21269,270,20218,781,2021-09-01,,,
Bethlehem Governorate,17936,234,17587,115,2021-09-01,,,
Tulkarm Governorate,17852,237,15524,2091,2021-09-01,,,
Jerusalem Governorate,10896,91,10709,96,2021-09-01,,,
Qalqilya Governorate,9312,151,8243,918,2021-09-01,,,
Salfit Governorate,7974,92,7256,626,2021-09-01,,,
Tubas Governorate,5407,64,5129,214,2021-09-01,,,
Jericho Governorate,4483,46,4369,68,2021-09-01,,,
Gaza strip,130475,1140,117453,11882,2021-08-31,,,
Hebron Governorate,45661,585,44776,300,2021-08-31,,,
Nablus Governorate,38092,452,34812,2828,2021-08-31,,,
Ramallah and al-Bireh Governorate,33621,320,32418,883,2021-08-31,,,
East Jerusalem,29300,268,28805,227,2021-08-31,,,
Jenin Governorate,21135,270,20169,696,2021-08-31,,,
Bethlehem Governorate,17926,234,17584,108,2021-08-31,,,
Tulkarm Governorate,17558,236,15459,1863,2021-08-31,,,
Jerusalem Governorate,10891,91,10707,93,2021-08-31,,,
Qalqilya Governorate,9186,150,8219,817,2021-08-31,,,
Salfit Governorate,7873,92,7242,539,2021-08-31,,,
Tubas Governorate,5385,64,5095,226,2021-08-31,,,
Jericho Governorate,4479,46,4364,69,2021-08-31,,,
Gaza strip,129111,1137,117132,10842,2021-08-30,,,
Hebron Governorate,45628,585,44766,277,2021-08-30,,,
Nablus Governorate,37799,452,34647,2700,2021-08-30,,,
Ramallah and al-Bireh Governorate,33479,319,32354,806,2021-08-30,,,
East Jerusalem,29300,268,28805,227,2021-08-30,,,
Jenin Governorate,21033,270,20131,632,2021-08-30,,,
Bethlehem Governorate,17917,234,17576,107,2021-08-30,,,
Tulkarm Governorate,17306,236,15408,1662,2021-08-30,,,
Jerusalem Governorate,10880,91,10702,87,2021-08-30,,,
Qalqilya Governorate,9063,150,8188,725,2021-08-30,,,
Salfit Governorate,7780,91,7222,467,2021-08-30,,,
Tubas Governorate,5349,64,5068,217,2021-08-30,,,
Jericho Governorate,4471,46,4362,63,2021-08-30,,,
Gaza strip,124271,1128,116231,6912,2021-08-25,,,
Hebron Governorate,45462,585,44725,152,2021-08-25,,,
Nablus Governorate,36521,447,34166,1908,2021-08-25,,,
Ramallah and al-Bireh Governorate,33034,319,32146,569,2021-08-25,,,
East Jerusalem,29300,268,28805,227,2021-08-25,,,
Jenin Governorate,20626,268,19954,404,2021-08-25,,,
Bethlehem Governorate,17881,234,17553,94,2021-08-25,,,
Tulkarm Governorate,16344,235,15201,908,2021-08-25,,,
Jerusalem Governorate,10832,91,10694,47,2021-08-25,,,
Qalqilya Governorate,8637,147,8089,401,2021-08-25,,,
Salfit Governorate,7535,90,7165,280,2021-08-25,,,
Tubas Governorate,5229,64,5001,164,2021-08-25,,,
Jericho Governorate,4449,46,4349,54,2021-08-25,,,
Gaza strip,123402,1126,116086,6190,2021-08-24,,,
Hebron Governorate,45432,585,44711,136,2021-08-24,,,
Nablus Governorate,36264,445,34128,1691,2021-08-24,,,
Ramallah and al-Bireh Governorate,32977,318,32136,523,2021-08-24,,,
East Jerusalem,29241,268,28778,195,2021-08-24,,,
Jenin Governorate,20564,267,19901,396,2021-08-24,,,
Bethlehem Governorate,17867,234,17549,84,2021-08-24,,,
Tulkarm Governorate,16165,235,15184,746,2021-08-24,,,
Jerusalem Governorate,10825,91,10690,44,2021-08-24,,,
Qalqilya Governorate,8567,147,8083,337,2021-08-24,,,
Salfit Governorate,7484,90,7159,235,2021-08-24,,,
Tubas Governorate,5214,62,4991,161,2021-08-24,,,
Jericho Governorate,4443,46,4349,48,2021-08-24,,,
Gaza strip,122528,1125,116042,5361,2021-08-23,,,
Hebron Governorate,45410,585,44698,127,2021-08-23,,,
Nablus Governorate,36010,443,34086,1481,2021-08-23,,,
Ramallah and al-Bireh Governorate,32908,318,32121,469,2021-08-23,,,
East Jerusalem,29241,268,28778,195,2021-08-23,,,
Jenin Governorate,20508,267,19876,365,2021-08-23,,,
Bethlehem Governorate,17856,234,17539,83,2021-08-23,,,
Tulkarm Governorate,16021,235,15163,623,2021-08-23,,,
Jerusalem Governorate,10820,91,10688,41,2021-08-23,,,
Qalqilya Governorate,8512,147,8081,284,2021-08-23,,,
Salfit Governorate,7431,90,7150,191,2021-08-23,,,
Tubas Governorate,5191,61,4977,153,2021-08-23,,,
Jericho Governorate,4439,46,4349,44,2021-08-23,,,
Gaza strip,121865,1122,115897,4846,2021-08-22,,,
Hebron Governorate,45370,585,44696,89,2021-08-22,,,
Nablus Governorate,35744,443,33996,1305,2021-08-22,,,
Ramallah and al-Bireh Governorate,32837,318,32079,440,2021-08-22,,,
East Jerusalem,29199,268,28714,217,2021-08-22,,,
Jenin Governorate,20459,266,19871,322,2021-08-22,,,
Bethlehem Governorate,17853,234,17538,81,2021-08-22,,,
Tulkarm Governorate,15912,235,15147,530,2021-08-22,,,
Jerusalem Governorate,10812,91,10685,36,2021-08-22,,,
Qalqilya Governorate,8460,147,8074,239,2021-08-22,,,
Salfit Governorate,7404,89,7148,167,2021-08-22,,,
Tubas Governorate,5163,61,4973,129,2021-08-22,,,
Jericho Governorate,4431,46,4348,37,2021-08-22,,,
Gaza strip,120464,1115,115647,3702,2021-08-19,,,
Hebron Governorate,45344,585,44687,72,2021-08-19,,,
Nablus Governorate,35178,443,33909,826,2021-08-19,,,
Ramallah and al-Bireh Governorate,32674,318,32036,320,2021-08-19,,,
East Jerusalem,29133,268,28635,230,2021-08-19,,,
Jenin Governorate,20357,266,19815,276,2021-08-19,,,
Bethlehem Governorate,17837,234,17531,72,2021-08-19,,,
Tulkarm Governorate,15683,235,15104,344,2021-08-19,,,
Jerusalem Governorate,10806,91,10681,34,2021-08-19,,,
Qalqilya Governorate,8365,147,8047,171,2021-08-19,,,
Salfit Governorate,7343,88,7146,109,2021-08-19,,,
Tubas Governorate,5108,61,4939,108,2021-08-19,,,
Jericho Governorate,4423,45,4348,30,2021-08-19,,,
Gaza strip,119003,1112,115433,2458,2021-08-16,,,
Hebron Governorate,45317,585,44679,53,2021-08-16,,,
Nablus Governorate,34766,443,33857,466,2021-08-16,,,
Ramallah and al-Bireh Governorate,32535,318,31998,219,2021-08-16,,,
East Jerusalem,29074,268,28623,183,2021-08-16,,,
Jenin Governorate,20233,266,19752,215,2021-08-16,,,
Bethlehem Governorate,17821,234,17527,60,2021-08-16,,,
Tulkarm Governorate,15506,235,15072,199,2021-08-16,,,
Jerusalem Governorate,10793,91,10677,25,2021-08-16,,,
Qalqilya Governorate,8283,147,8042,94,2021-08-16,,,
Salfit Governorate,7292,88,7141,63,2021-08-16,,,
Tubas Governorate,5067,61,4923,83,2021-08-16,,,
Jericho Governorate,4415,45,4347,23,2021-08-16,,,
Gaza strip,118688,1112,115299,2277,2021-08-15,,,
Hebron Governorate,45303,585,44677,41,2021-08-15,,,
